backend,scenario,mode,support,verdict,status,applied,complete,degraded,detail
sqlite,store_resolve,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"resolve_slot matched authoritative sqlite behavior"
sqlite,recall_scoped,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"recall returned authoritative lifecycle key"
sqlite,forget_mode,soft,SUPPORTED,PASS,complete,true,true,false,"mode=soft contract=SUPPORTED checks=5"
sqlite,forget_mode,hard,SUPPORTED,PASS,complete,true,true,false,"mode=hard contract=SUPPORTED checks=5"
sqlite,forget_mode,tombstone,SUPPORTED,PASS,complete,true,true,false,"mode=tombstone contract=SUPPORTED checks=5"
lancedb,store_resolve,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"resolve_slot matched authoritative sqlite behavior"
lancedb,recall_scoped,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"recall returned authoritative lifecycle key"
lancedb,forget_mode,soft,DEGRADED,DEGRADED,degraded_non_complete,true,false,true,"mode=soft contract=DEGRADED checks=5"
lancedb,forget_mode,hard,SUPPORTED,PASS,complete,true,true,false,"mode=hard contract=SUPPORTED checks=5"
lancedb,forget_mode,tombstone,DEGRADED,DEGRADED,degraded_non_complete,true,false,true,"mode=tombstone contract=DEGRADED checks=5"
markdown,store_resolve,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"resolve_slot matched authoritative sqlite behavior"
markdown,recall_scoped,n/a,AUTHORITATIVE,PASS,n/a,true,true,false,"recall returned authoritative lifecycle key"
markdown,forget_mode,soft,DEGRADED,DEGRADED,degraded_non_complete,false,false,true,"mode=soft contract=DEGRADED checks=5"
markdown,forget_mode,hard,UNSUPPORTED,UNSUPPORTED,degraded_non_complete,false,false,true,"mode=hard contract=UNSUPPORTED checks=5"
markdown,forget_mode,tombstone,DEGRADED,DEGRADED,degraded_non_complete,false,false,true,"mode=tombstone contract=DEGRADED checks=5"
